INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
073650031,12/31/2007,09:03 AM,1,THEFT FROM MOTOR VEHICLE,,,,,1600 N CASS ST
073650071,12/31/2007,12:20 PM,1,THEFT FROM MOTOR VEHICLE,,,,,929 E WISCONSIN AV
073650079,12/31/2007,12:27 PM,5,MOTOR VEHICLE THEFT,,,,,3306 N SHEPARD AV
073650097,12/31/2007,03:06 PM,1,ALL OTHER LARCENY,,,,,718 N MILWAUKEE ST
073650098,12/31/2007,03:10 PM,1,THEFT FROM MOTOR VEHICLE,,,,,924 E JUNEAU AV
073650101,12/31/2007,03:23 PM,1,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,700 W WISCONSIN AV
073650115,12/31/2007,04:38 PM,1,THEFT FROM MOTOR VEHICLE,,,,,500 N VAN BUREN ST
073650125,12/31/2007,05:28 PM,1,THEFT FROM MOTOR VEHICLE,,,,,701 E CLYBOURN ST
073650135,12/31/2007,06:16 PM,1,THEFT FROM MOTOR VEHICLE,,,,,310 W WISCONSIN AV
073650159,12/31/2007,09:00 PM,1,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,THEFT FROM MOTOR VEHICLE,,,,1619 N MARSHALL ST
073650159,12/31/2007,09:00 PM,1,THEFT FROM MOTOR VEHICLE,,,,,1619 N MARSHALL ST
073640041,12/30/2007,08:31 AM,1,THEFT FROM MOTOR VEHICLE,,,,,225 E CHICAGO ST
073640053,12/30/2007,10:36 AM,1,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,1026 E LYON ST
073640091,12/30/2007,01:24 PM,5,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2303 N FARWELL AV
073640099,12/30/2007,02:45 PM,1,THEFT FROM MOTOR VEHICLE,,,,,921 E MASON ST
073640108,12/30/2007,03:35 PM,1,ALL OTHER LARCENY,,,,,920 N WATER ST
073640125,12/30/2007,05:18 PM,2,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,313 S WATER ST
073640136,12/30/2007,06:18 PM,1,THEFT FROM MOTOR VEHICLE,,,,,650 N WATER ST
073640169,12/30/2007,08:38 PM,5,BURGLARY/BREAKING AND ENTERING,,,,,2443 N MURRAY AV
073630040,12/29/2007,09:36 AM,1,THEFT FROM MOTOR VEHICLE,,,,,1351 N MARSHALL ST
073630059,12/29/2007,12:07 PM,1,THEFT FROM MOTOR VEHICLE,,,,,1030 N 6TH ST
073630062,12/29/2007,12:06 PM,1,SHOPLIFTING,,,,,161 W WISCONSIN AV
073630100,12/29/2007,03:18 PM,1,ALL OTHER LARCENY,,,,,544 E OGDEN AV
073630151,12/29/2007,10:33 PM,1,THEFT FROM MOTOR VEHICLE,,,,,500 W CHERRY ST
073630155,12/29/2007,10:46 PM,1,THEFT FROM MOTOR VEHICLE,,,,,1201 N 8TH ST
073620031,12/28/2007,07:39 AM,1,THEFT FROM MOTOR VEHICLE,,,,,2200 E IVANHOE PL
073620043,12/28/2007,08:53 AM,1,THEFT FROM MOTOR VEHICLE,,,,,2035 N LAKE DR
073620048,12/28/2007,09:01 AM,1,MOTOR VEHICLE THEFT,,,,,350 E WELLS ST
073620058,12/28/2007,10:20 AM,5,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2901 N FREDERICK AV
073620086,12/28/2007,01:10 PM,5,MOTOR VEHICLE THEFT,,,,,2619 N PROSPECT AV
073620098,12/28/2007,03:02 PM,1,ALL OTHER LARCENY,,,,,1311 E BRADY ST
073620104,12/28/2007,03:53 PM,5,ALL OTHER LARCENY,,,,,3101 N NEWHALL ST
073620106,12/28/2007,04:11 PM,1,THEFT FROM MOTOR VEHICLE,,,,,1050 N 8TH ST
073620112,12/28/2007,04:54 PM,5,ALL OTHER LARCENY,,,,,1700 E NORTH AV
073620113,12/28/2007,05:01 PM,1,THEFT FROM MOTOR VEHICLE,,,,,770 N JEFFERSON ST
073620133,12/28/2007,06:34 PM,1,MOTOR VEHICLE THEFT,,,,,444 W GALENA ST
073620134,12/28/2007,07:04 PM,1,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,701 E CLYBOURN ST
073620176,12/28/2007,10:25 PM,1,THEFT FROM MOTOR VEHICLE,,,,,158 N BROADWAY
073620179,12/28/2007,11:00 PM,1,THEFT FROM MOTOR VEHICLE,,,,,615 N 4TH ST
073610021,12/27/2007,03:21 AM,5,BURGLARY/BREAKING AND ENTERING,,,,,3034 N FARWELL AV #LOWER
073610049,12/27/2007,09:10 AM,1,ALL OTHER LARCENY,,,,,1633 N ARLINGTON PL #1301
073610108,12/27/2007,03:13 PM,1,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,800 W JUNEAU AV
073610130,12/27/2007,05:33 PM,1,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,951 N JAMES LOVELL ST
073610147,12/27/2007,06:49 PM,5,THEFT FROM MOTOR VEHICLE,,,,,2025 E NEWPORT AV
073610172,12/27/2007,08:17 PM,1,THEFT FROM MOTOR VEHICLE,,,,,400 N WATER ST
073610184,12/27/2007,08:33 PM,1,THEFT FROM MOTOR VEHICLE,,,,,400 E KILBOURN AV
073610189,12/27/2007,09:33 PM,1,THEFT FROM MOTOR VEHICLE,,,,,740 N PLANKINTON AV
073610199,12/27/2007,10:20 PM,1,THEFT FROM MOTOR VEHICLE,,,,,1001 N 4TH ST
073620001,12/27/2007,10:22 PM,1,MOTOR VEHICLE THEFT,,,,,317 E WELLS ST
073600020,12/26/2007,01:59 AM,1,AGGRAVATED ASSAULT,,,,,524 N WATER ST
073600038,12/26/2007,08:20 AM,1,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,1345 N ASTOR ST
073600040,12/26/2007,08:23 AM,1,THEFT FROM MOTOR VEHICLE,,,,,234 N BROADWAY
073600053,12/26/2007,09:31 AM,1,ALL OTHER LARCENY,,,,,2248 N FARWELL AV
073600066,12/26/2007,11:14 AM,1,MOTOR VEHICLE THEFT,,,,,1000 N 4TH ST
073600078,12/26/2007,12:13 PM,1,THEFT FROM MOTOR VEHICLE,,,,,770 N MILWAUKEE ST
073600090,12/26/2007,01:02 PM,5,THEFT FROM MOTOR VEHICLE,,,,,2545 N CRAMER ST
073600091,12/26/2007,11:56 AM,5,MOTOR VEHICLE THEFT,,,,,2401 N BARTLETT AV
073600114,12/26/2007,01:27 PM,5,BURGLARY/BREAKING AND ENTERING,,,,,3456 N DOWNER AV #LOWER
073600126,12/26/2007,04:33 PM,1,THEFT FROM MOTOR VEHICLE,,,,,400 N MILWAUKEE ST
073600142,12/26/2007,06:28 PM,1,THEFT FROM MOTOR VEHICLE,,,,,1500 N WATER ST
073600147,12/26/2007,06:55 PM,1,ALL OTHER LARCENY,,,,,1317 E BRADY ST
073600186,12/26/2007,09:51 PM,1,THEFT FROM MOTOR VEHICLE,,,,,1001 N 4TH ST
