INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
053650011,12/31/2005,01:52 AM,4,THEFT FROM MOTOR VEHICLE,,,,,8243 W SILVER SPRING DR
053650018,12/31/2005,02:32 AM,4,SIMPLE ASSAULT,,,,,2925-A W BOBOLINK AV
053650040,12/31/2005,02:32 AM,4,AGGRAVATED ASSAULT,,,,,2925A W BOBOLINK AV
053650051,12/31/2005,10:09 AM,4,ALL OTHER LARCENY,,,,,5466 N 83RD ST
053650069,12/31/2005,11:42 AM,4,ROBBERY,,,,,7101 W GOOD HOPE RD
053650071,12/31/2005,12:26 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,6000 W SILVER SPRING DR
053650076,12/31/2005,10:47 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,10110 W SILVER SPRING DR
053650079,12/31/2005,01:01 PM,4,MOTOR VEHICLE THEFT,,,,,8001 W CUSTER AV
053650080,12/31/2005,01:11 PM,4,AGGRAVATED ASSAULT,,,,,5882 N 42ND ST
053650085,12/31/2005,01:27 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,7865 N 86TH ST
053650099,12/31/2005,12:54 PM,4,MOTOR VEHICLE THEFT,,,,,9739 W HAMPTON AV #18
053650122,12/31/2005,04:51 PM,4,MOTOR VEHICLE THEFT,,,,,5520 N 33RD ST
053650143,12/31/2005,08:06 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,6343 N 84TH ST #4
053650150,12/31/2005,08:49 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,7707 W WABASH CT #1
060010002,12/31/2005,11:46 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,4764 N 107TH ST
053640023,12/30/2005,07:00 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,5541 N 56TH ST
053640026,12/30/2005,06:22 AM,4,THEFT FROM MOTOR VEHICLE,,,,,5590 N 76TH ST
053640028,12/30/2005,08:03 AM,4,ROBBERY,,,,,5707 N 72ND ST
053640038,12/30/2005,07:03 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,7474 N 89TH ST
053640068,12/30/2005,10:45 AM,4,THEFT FROM MOTOR VEHICLE,,,,,7923 W BRENTWOOD AV
053640076,12/30/2005,10:47 AM,4,ALL OTHER LARCENY,,,,,5364 N 39TH ST
053640082,12/30/2005,11:26 AM,4,ALL OTHER LARCENY,,,,,9021 N SWAN RD
053640097,12/30/2005,01:11 PM,4,SIMPLE ASSAULT,,,,,5846 N 93RD ST
053640098,12/30/2005,01:40 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,5501 N 76TH ST
053640110,12/30/2005,01:44 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,8501 N 68TH ST
053640113,12/30/2005,12:37 PM,4,ALL OTHER LARCENY,,,,,6090 N 35TH ST
053640132,12/30/2005,03:43 PM,4,MOTOR VEHICLE THEFT,,,,,9341 W SILVER SPRING DR
053640139,12/30/2005,05:38 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,6529 N 52ND ST
053640146,12/30/2005,05:37 PM,4,SIMPLE ASSAULT,,,,,6837 N DARIEN ST #1
053640155,12/30/2005,07:13 PM,4,SHOPLIFTING,,,,,8340 W BROWN DEER RD
053640164,12/30/2005,08:14 PM,4,SIMPLE ASSAULT,,,,,5314 N 83RD ST
053640174,12/30/2005,08:50 PM,4,ROBBERY,,,,,6087 N 39TH ST
053640185,12/30/2005,11:23 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,5832 N 94TH ST
053650005,12/30/2005,09:22 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,3520 W VILLARD AV
060060067,12/30/2005,11:46 AM,4,THEFT FROM MOTOR VEHICLE,,,,,5234 N 55TH ST
053630019,12/29/2005,05:11 AM,4,MOTOR VEHICLE THEFT,,,,,6916 N RAINTREE DR
053630051,12/29/2005,10:29 AM,4,SIMPLE ASSAULT,,,,,6929 W SILVER SPRING DR
053630057,12/29/2005,11:51 AM,4,THEFT FROM MOTOR VEHICLE,,,,,8235 W GOOD HOPE RD
053630063,12/29/2005,12:38 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,THEFT FROM MOTOR VEHICLE,,,,10332 W SILVER SPRING DR
053630065,12/29/2005,12:56 PM,4,THEFT FROM MOTOR VEHICLE,,,,,7869 N 60TH ST
053630074,12/29/2005,01:19 PM,4,SHOPLIFTING,,,,,10202 W SILVER SPRING DR
053630077,12/29/2005,01:37 PM,4,SIMPLE ASSAULT,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,5527 N 33RD ST
053630080,12/29/2005,02:13 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,11020 W HEATHER AV
053630106,12/29/2005,01:35 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,5288 N 76TH ST
053630108,12/29/2005,01:48 PM,4,MOTOR VEHICLE THEFT,,,,,1935 W SILVER SPRING DR
053630116,12/29/2005,12:45 PM,4,ROBBERY,,,,,6018 W SILVER SPRING DR
053630133,12/29/2005,06:07 PM,4,ALL OTHER LARCENY,,,,,5500 W 64TH ST
053630148,12/29/2005,03:42 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,5958 N 124TH ST
053630164,12/29/2005,09:27 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,4134 W VILLARD AV
053630165,12/29/2005,08:28 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,7600 W DEAN RD
053630168,12/29/2005,09:52 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,5702 N 73RD ST
053630174,12/29/2005,06:44 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,8502 N SERVITE DR
053630184,12/29/2005,10:07 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,8945 N 85TH ST #105
053640010,12/29/2005,11:53 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,8725 N 76TH ST
053620004,12/28/2005,12:28 AM,4,MOTOR VEHICLE THEFT,,,,,8414 W VILLARD AV
053620008,12/28/2005,01:38 AM,4,MOTOR VEHICLE THEFT,,,,,5413 N 67TH ST
053620015,12/28/2005,12:30 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,6750 N 43RD ST
053620032,12/28/2005,07:37 AM,4,THEFT FROM MOTOR VEHICLE,,,,,5686 N 37TH ST
053620033,12/28/2005,07:43 AM,4,THEFT FROM MOTOR VEHICLE,,,,,6253 N 118TH ST
053620034,12/28/2005,07:54 AM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,12000 W KAUL AV
053620039,12/28/2005,06:52 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,7764 N 81ST ST
053620040,12/28/2005,08:47 AM,4,THEFT FROM MOTOR VEHICLE,,,,,5835 N 113TH ST
053620041,12/28/2005,07:31 AM,4,MOTOR VEHICLE THEFT,,,,,7919 W SILVER SPRING DR
053620054,12/28/2005,09:34 AM,4,SIMPLE ASSAULT,,,,,9314 W SHERIDAN AV #1
053620059,12/28/2005,11:02 AM,4,THEFT FROM MOTOR VEHICLE,,,,,12208 W DOUGLAS AV
053620061,12/28/2005,11:08 AM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,6514 N 83RD ST
053620069,12/28/2005,12:03 PM,4,ALL OTHER LARCENY,,,,,9424-26 W SHERIDAN AV
053620071,12/28/2005,12:11 PM,4,ALL OTHER LARCENY,,,,,7717 W GOOD HOPE RD
053620094,12/28/2005,02:14 PM,4,THEFT FROM MOTOR VEHICLE,,,,,5867 N 60TH ST
053620102,12/28/2005,01:15 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,5701 W GOOD HOPE RD
053620127,12/28/2005,03:15 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,8200 W BENDER AV #2
053620147,12/28/2005,05:47 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,5344 N 36TH ST
053620152,12/28/2005,05:45 PM,4,AGGRAVATED ASSAULT,,,,,7116 W GRANTOSA DR
053620155,12/28/2005,06:43 PM,4,THEFT FROM MOTOR VEHICLE,,,,,6339 N 116TH ST
053620157,12/28/2005,04:27 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,5780 N 33RD ST
053620159,12/28/2005,07:03 PM,4,THEFT FROM MOTOR VEHICLE,,,,,6411 N 76TH ST
053620167,12/28/2005,06:28 PM,4,ROBBERY,,,,,5914 N 70TH ST
053620178,12/28/2005,06:57 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,5317 N 57TH ST
053620185,12/28/2005,10:08 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,5243 N 57TH ST
053620197,12/28/2005,10:05 PM,4,ROBBERY,,,,,11133 W SILVER SPRING DR
053610019,12/27/2005,01:43 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,5506 N 76TH ST
053610023,12/27/2005,07:44 AM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,11701 W CARMEN AV
053610043,12/27/2005,10:00 AM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,6510 N 56TH ST
053610045,12/27/2005,09:43 AM,4,THEFT FROM MOTOR VEHICLE,,,,,9326 W BIRCH AV
053610062,12/27/2005,10:42 AM,4,MOTOR VEHICLE THEFT,,,,,7424 W CARMEN AV
053610086,12/27/2005,12:12 PM,4,ALL OTHER LARCENY,,,,,7222 N TEUTONIA AV
053610095,12/27/2005,02:35 PM,4,MOTOR VEHICLE THEFT,,,,,2820 W VILLARD AV
053610097,12/27/2005,02:39 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,10325 W SILVER SPRING DR
053610098,12/27/2005,02:42 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,5828 W SILVER SPRING DR
053610100,12/27/2005,02:44 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,5701 W SILVER SPRING DR
053610102,12/27/2005,02:46 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,3432 W SILVER SPRING DR
053610103,12/27/2005,02:48 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,6400 W SILVER SPRING DR
053610104,12/27/2005,02:50 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,6401 W SILVER SPRING DR
053610111,12/27/2005,03:01 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,8001 W FLORIST AV
053610112,12/27/2005,03:02 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,8135 W FLORIST AV
053610113,12/27/2005,03:02 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,7601 W MILL RD
053610114,12/27/2005,03:03 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,7600 W GOOD HOPE RD
053610115,12/27/2005,03:04 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,7708 N 60TH ST
053610140,12/27/2005,03:17 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,5686 N 37TH ST
053610144,12/27/2005,03:19 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,6355 N 76TH ST
053610146,12/27/2005,03:21 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,5348 N LOVERS LANE RD
053610159,12/27/2005,03:51 PM,4,ALL OTHER LARCENY,,,,,5273 N 38TH ST
053610161,12/27/2005,04:25 PM,4,ALL OTHER LARCENY,,,,,7100 N 43RD ST
053610166,12/27/2005,04:26 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,SIMPLE ASSAULT,,,,3310 W SILVER SPRING DR #4
053610166,12/27/2005,04:26 PM,4,SIMPLE ASSAULT,,,,,3310 W SILVER SPRING DR #4
053610182,12/27/2005,03:10 PM,4,ROBBERY,,,,,6907 N TEUTONIA AV
053610191,12/27/2005,05:00 PM,4,AGGRAVATED ASSAULT,,,,,4134 W VILLARD AV
053610196,12/27/2005,06:50 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,7961 N 94TH ST
053610198,12/27/2005,06:19 PM,4,ALL OTHER LARCENY,,,,,5662 N 62ND ST
053610210,12/27/2005,06:01 PM,4,ROBBERY,,,,,5990 W GOOD HOPE RD
053610228,12/27/2005,08:59 PM,4,ALL OTHER LARCENY,,,,,8605 N GRANVILLE RD
053600014,12/26/2005,01:24 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,5804 W VILLARD AV
053600016,12/26/2005,01:30 AM,4,AGGRAVATED ASSAULT,,,,,9305 W SHERIDAN AV
