INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
153650010,12/31/2015,01:46 AM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2224 N 17TH ST
153650013,12/31/2015,03:21 AM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2020 W STATE ST
153650020,12/31/2015,06:33 AM,3,THEFT FROM MOTOR VEHICLE,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,6020 W FAIRVIEW AV
153650021,12/31/2015,07:38 AM,3,BURGLARY/BREAKING AND ENTERING,,,,,2141 N 39TH ST
153650029,12/31/2015,10:23 AM,3,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,3100 W WELLS ST
153650041,12/31/2015,11:48 AM,3,MOTOR VEHICLE THEFT,,,,,500 S 69TH ST
153650056,12/31/2015,01:54 PM,3,THEFT FROM BUILDING,,,,,1817 N 36TH ST
153650082,12/31/2015,06:32 PM,3,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,1433 W HIGHLAND AV
153650096,12/31/2015,08:32 PM,3,SIMPLE ASSAULT,,,,,731 N 25TH ST #308
153640012,12/30/2015,02:37 AM,3,SIMPLE ASSAULT,,,,,2440 W STATE ST
153640020,12/30/2015,06:52 AM,3,THEFT FROM MOTOR VEHICLE,,,,,3002 W STATE ST
153640024,12/30/2015,07:40 AM,3,MOTOR VEHICLE THEFT,,,,,1853 N 12TH ST
153640030,12/30/2015,09:12 AM,3,BURGLARY/BREAKING AND ENTERING,,,,,1431 N 26TH ST
153640051,12/30/2015,01:42 PM,3,THEFT FROM BUILDING,,,,,4718 W GARFIELD AV
153640067,12/30/2015,01:36 PM,3,SHOPLIFTING,,,,,1201 N 35TH ST
153640068,12/30/2015,01:36 PM,3,SHOPLIFTING,,,,,1201 N 35TH ST
153640070,12/30/2015,03:29 PM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,825 N 22ND ST
153640077,12/30/2015,04:27 PM,3,MOTOR VEHICLE THEFT,,,,,1322 N 28TH ST
153640101,12/30/2015,06:48 PM,3,ARSON,,,,,437 N 31ST ST
153630002,12/29/2015,12:16 AM,3,AGGRAVATED ASSAULT,,,,,1847 N 36TH ST
153630014,12/29/2015,01:07 AM,3,AGGRAVATED ASSAULT,,,,,2653 N 49TH ST
153630019,12/29/2015,03:32 AM,3,ROBBERY,,,,,328 N 34TH ST
153630029,12/29/2015,08:50 AM,3,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,441 N 32ND ST
153630036,12/29/2015,11:04 AM,3,MOTOR VEHICLE THEFT,,,,,916 N 26TH ST
153630060,12/29/2015,12:10 PM,3,THEFT FROM MOTOR VEHICLE,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,6131 W CENTER ST
153630067,12/29/2015,01:59 PM,3,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,2500 N 19TH ST
153630074,12/29/2015,01:56 PM,3,SIMPLE ASSAULT,,,,,4426 W WRIGHT ST
153630079,12/29/2015,09:42 AM,3,SHOPLIFTING,,,,,3522 W WISCONSIN AV
153630084,12/29/2015,04:09 PM,3,MOTOR VEHICLE THEFT,,,,,635 N 35TH ST
153630094,12/29/2015,04:29 PM,3,MOTOR VEHICLE THEFT,,,,,2834 W WISCONSIN AV
153630096,12/29/2015,05:38 PM,3,MOTOR VEHICLE THEFT,,,,,1438 N 25TH ST
153630114,12/29/2015,06:49 PM,3,AGGRAVATED ASSAULT,,,,,1633 N 37TH ST
153630118,12/29/2015,07:22 PM,3,THEFT FROM MOTOR VEHICLE,,,,,3710 W LISBON AV
153630124,12/29/2015,08:10 PM,3,FORCIBLE RAPE,,,,,
153630127,12/29/2015,04:29 PM,3,SIMPLE ASSAULT,,,,,2834 W WISCONSIN AV #UPR
153630133,12/29/2015,04:42 PM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,832 N 34TH ST
153630150,12/29/2015,09:00 PM,3,AGGRAVATED ASSAULT,,,,,2415-A N 36TH ST
153620015,12/28/2015,12:51 AM,3,MOTOR VEHICLE THEFT,,,,,3023 W CHERRY ST
153620029,12/28/2015,04:18 AM,3,BURGLARY/BREAKING AND ENTERING,,,,,2475 W NORTH AV
153620067,12/28/2015,11:17 AM,3,THEFT FROM MOTOR VEHICLE,,,,,2129 N 45TH ST
153620069,12/28/2015,11:29 AM,3,THEFT FROM MOTOR VEHICLE,,,,,2451 N 28TH ST
153620138,12/28/2015,08:13 PM,3,MOTOR VEHICLE THEFT,,,,,5830 W VLIET ST
153620155,12/28/2015,07:21 PM,3,ROBBERY,,,,,2676 N 47TH ST
153600159,12/27/2015,05:05 AM,3,AGGRAVATED ASSAULT,,,,,2521 W MEDFORD AV
153610013,12/27/2015,12:05 AM,3,MOTOR VEHICLE THEFT,,,,,139 N 71ST ST
153610071,12/27/2015,10:32 AM,3,THEFT FROM MOTOR VEHICLE,,,,,549 N 32ND ST
153610071,12/27/2015,10:32 AM,3,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,549 N 32ND ST
153610079,12/27/2015,11:13 AM,3,INTIMIDATION,,,,,2661 N TEUTONIA AV
153610096,12/27/2015,10:07 AM,3,THEFT FROM MOTOR VEHICLE,,,,,2500 W KILBOURN AV
153610099,12/27/2015,01:15 PM,3,SIMPLE ASSAULT,,,,,2848 W WISCONSIN AV #104
153610116,12/27/2015,11:44 AM,3,MOTOR VEHICLE THEFT,,,,,225 S 74TH ST
153610122,12/27/2015,04:09 PM,3,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,2820 W KILBOURN AV
153610128,12/27/2015,04:00 PM,3,ROBBERY,,,,,2723 W CLYBOURN ST #14
153610141,12/27/2015,02:44 PM,3,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2645 N 20TH ST
153610143,12/27/2015,05:18 PM,3,INTIMIDATION,,,,,2727 W NORTH AV
153610149,12/27/2015,05:41 PM,3,ROBBERY,,,,,3500 W WRIGHT ST
153610169,12/27/2015,06:55 PM,3,INTIMIDATION,,,,,159 N 91ST ST
153620009,12/27/2015,11:34 PM,3,MOTOR VEHICLE THEFT,,,,,1329 N HAWLEY RD
153620012,12/27/2015,10:31 PM,3,BURGLARY/BREAKING AND ENTERING,,,,,2370 N GRANT BL
153600024,12/26/2015,03:50 AM,3,SIMPLE ASSAULT,,,,,3601 W CENTER ST
153600054,12/26/2015,07:40 AM,3,MOTOR VEHICLE THEFT,,,,,2418 N 45TH ST
153600064,12/26/2015,11:55 AM,3,THEFT FROM MOTOR VEHICLE,,,,,217 S 62ND ST
153600078,12/26/2015,01:26 PM,3,AGGRAVATED ASSAULT,,,,,2477 N 38TH ST
153600091,12/26/2015,03:19 PM,3,ROBBERY,,,,,2346 N 48TH ST
153600095,12/26/2015,03:03 PM,3,BURGLARY/BREAKING AND ENTERING,,,,,529-A S 71ST ST
153600108,12/26/2015,04:36 PM,3,BURGLARY/BREAKING AND ENTERING,,,,,2030 N 53RD ST
153600111,12/26/2015,06:09 PM,3,ALL OTHER LARCENY,,,,,1536 N 17TH ST
153600122,12/26/2015,06:34 PM,3,AGGRAVATED ASSAULT,,,,,1110 N 17TH ST
153600144,12/26/2015,09:56 PM,3,AGGRAVATED ASSAULT,,,,,2452 W FOND DU LAC AV
153600155,12/26/2015,10:20 PM,3,MOTOR VEHICLE THEFT,,,,,1721 W CANAL ST
153610003,12/26/2015,11:49 PM,3,THEFT FROM MOTOR VEHICLE,,,,,2452 N 38TH ST
153590014,12/25/2015,01:26 AM,3,ROBBERY,,,,,2423 N 20TH ST
153590028,12/25/2015,03:14 AM,3,ROBBERY,,,,,2625 N 50TH ST
153590034,12/25/2015,04:58 AM,3,ROBBERY,,,,,2800 W WISCONSIN AV
153590060,12/25/2015,11:47 AM,3,MOTOR VEHICLE THEFT,,,,,2446 N 47TH ST
153590062,12/25/2015,11:00 AM,3,INTIMIDATION,,,,,159 N 91ST ST
153590077,12/25/2015,01:18 PM,3,ROBBERY,,,,,2920 W HIGHLAND BL #303
153590078,12/25/2015,01:58 PM,3,THEFT FROM MOTOR VEHICLE,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,3400 W CLYBOURN ST
153590082,12/25/2015,01:43 PM,3,AGGRAVATED ASSAULT,,,,,1557 N 20TH ST
153590087,12/25/2015,01:45 PM,3,MOTOR VEHICLE THEFT,,,,,3744 W MILLER LA
153590089,12/25/2015,04:48 PM,3,MOTOR VEHICLE THEFT,,,,,2480 W MEDFORD AV
153590090,12/25/2015,03:59 PM,3,MOTOR VEHICLE THEFT,,,,,3104 W WELLS ST
153590095,12/25/2015,02:00 PM,3,SHOPLIFTING,,,,,1201 N 35TH ST
