INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
093650014,12/31/2009,02:35 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,227 W HOLT AV
093650027,12/31/2009,07:41 AM,6,MOTOR VEHICLE THEFT,,,,,3013 S 8TH ST
093650029,12/31/2009,08:10 AM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,209 E VAN BECK AV
093650032,12/31/2009,06:23 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,1930 W MORGAN AV
093650038,12/31/2009,09:21 AM,6,THEFT FROM MOTOR VEHICLE,,,,,3325 S 15TH PL
093650040,12/31/2009,10:51 AM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,479 E WILBUR AV
093650043,12/31/2009,10:33 AM,6,THEFT FROM MOTOR VEHICLE,,,,,2750 S LOGAN AV
093650046,12/31/2009,09:44 AM,6,ALL OTHER LARCENY,,,,,4720 W FOREST HOME AV
093650078,12/31/2009,02:14 PM,6,SIMPLE ASSAULT,,,,,2910 S 61ST ST
093650097,12/31/2009,06:03 PM,6,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,3355 S 27TH ST
093650101,12/31/2009,06:27 PM,6,MOTOR VEHICLE THEFT,,,,,4016 S 52ND ST
093650108,12/31/2009,07:32 PM,6,SIMPLE ASSAULT,,,,,3334 S 27TH ST
093650121,12/31/2009,08:03 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,3306 W RUSKIN ST
100010002,12/31/2009,11:40 PM,6,BURGLARY/BREAKING AND ENTERING,,,,,1727 W BOTTSFORD AV
100010013,12/31/2009,10:59 PM,6,SIMPLE ASSAULT,,,,,4600 S 27TH ST
093640015,12/30/2009,02:01 AM,6,SIMPLE ASSAULT,,,,,3369 S HOWELL AV #1
093640027,12/30/2009,03:03 AM,6,SIMPLE ASSAULT,,,,,4352 S AUSTIN ST
093640034,12/30/2009,03:44 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,4239 S 21ST CT
093640043,12/30/2009,06:20 AM,6,BURGLARY/BREAKING AND ENTERING,,,,,3707 S 16TH ST
093640043,12/30/2009,06:20 AM,6,THEFT FROM MOTOR VEHICLE,,,,,3707 S 16TH ST
093640064,12/30/2009,11:20 AM,6,ALL OTHER LARCENY,,,,,3242 S 23RD ST
093640076,12/30/2009,01:36 PM,6,THEFT FROM MOTOR VEHICLE,,,,,3355 S 27TH ST
093640077,12/30/2009,01:41 PM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,4601 S 13TH ST
093640125,12/30/2009,06:13 PM,6,FORCIBLE FONDLING,,,,,
