INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
063650026,12/31/2006,03:03 AM,6,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,6268 S 27TH ST
063650027,12/31/2006,02:46 AM,2,ROBBERY,,,,,3110 S 13TH ST
063650031,12/31/2006,03:15 AM,2,THEFT FROM MOTOR VEHICLE,,,,,3412 S INDIANA AV
063650032,12/31/2006,03:15 AM,2,THEFT FROM MOTOR VEHICLE,,,,,3412 S INDIANA AV
063650036,12/31/2006,04:35 AM,6,MOTOR VEHICLE THEFT,,,,,2723 S 52ND ST
063650068,12/31/2006,08:40 AM,2,BURGLARY/BREAKING AND ENTERING,,,,,1508 W EDGERTON AV
063650069,12/31/2006,10:05 AM,2,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,2761 S QUINCY AV
063650075,12/31/2006,10:23 AM,2,THEFT FROM MOTOR VEHICLE,,,,,2208 S AUSTIN ST
063650082,12/31/2006,10:58 AM,2,THEFT FROM MOTOR VEHICLE,,,,,3119 S INDIANA AV
063650089,12/31/2006,10:02 AM,2,THEFT FROM MOTOR VEHICLE,,,,,2504 S HOWELL AV
063650100,12/31/2006,12:49 PM,2,THEFT FROM MOTOR VEHICLE,,,,,3337 S INDIANA AV
063650109,12/31/2006,02:05 PM,2,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,THEFT FROM MOTOR VEHICLE,,,,2700 S ADAMS AV
063650112,12/31/2006,02:16 PM,6,THEFT FROM MOTOR VEHICLE,,,,,2701 W MORGAN AV
063650122,12/31/2006,03:22 PM,2,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,427 E RUSSELL AV
063650140,12/31/2006,04:42 PM,6,ALL OTHER LARCENY,,,,,7700 W OHIO AV
063650152,12/31/2006,06:33 PM,2,THEFT FROM MOTOR VEHICLE,,,,,2771 S LINEBARGER TR
