INCIDENT_N,CDATE,CTIME,POLICE_DISTRICT,OFFENSE1,OFFENSE2,OFFENSE3,OFFENSE4,OFFENSE5,LOCATION
133650019,12/31/2013,06:19 AM,4,MOTOR VEHICLE THEFT,,,,,9009 N 75TH ST #APT3
133650032,12/31/2013,07:34 AM,4,MOTOR VEHICLE THEFT,,,,,6010 W CALUMET RD
133650035,12/31/2013,10:59 AM,4,FORCIBLE FONDLING,,,,,
133650050,12/31/2013,12:31 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,6049 N 77TH ST #6429
133650052,12/31/2013,01:28 PM,4,MOTOR VEHICLE THEFT,,,,,8117 W SCRANTON PL
133650058,12/31/2013,12:29 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,7291 W MARINE DR
133650068,12/31/2013,03:49 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,6929 W SILVER SPRING DR
133650072,12/31/2013,02:37 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,7007 N 42ND ST
133650075,12/31/2013,04:26 PM,4,MOTOR VEHICLE THEFT,,,,,5948 N SHERMAN BL
133650087,12/31/2013,06:18 PM,4,MOTOR VEHICLE THEFT,,,,,5462 N 38TH ST
133650091,12/31/2013,07:08 PM,4,MOTOR VEHICLE THEFT,,,,,4725 W WOOLWORTH AV
140010009,12/31/2013,11:55 PM,4,AGGRAVATED ASSAULT,,,,,5458 N 58TH ST
133640006,12/30/2013,12:20 AM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,SIMPLE ASSAULT,,,,10600 W LANCASTER AV
133640012,12/30/2013,12:46 AM,4,SIMPLE ASSAULT,,,,,9591 W ALLYN ST #203
133640025,12/30/2013,05:42 AM,4,MOTOR VEHICLE THEFT,,,,,10025 W HAMPTON AV
133640026,12/30/2013,04:56 AM,4,ARSON,,,,,4808 W VILLARD AV
133640038,12/30/2013,09:28 AM,4,MOTOR VEHICLE THEFT,,,,,5281 N TEUTONIA AV
133640042,12/30/2013,09:13 AM,4,SIMPLE ASSAULT,,,,,8932-A W SILVER SPRING DR
133640052,12/30/2013,09:32 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,5819 N 37TH ST
133640059,12/30/2013,12:08 PM,4,MOTOR VEHICLE THEFT,,,,,8730 N 91ST ST
133640060,12/30/2013,08:47 AM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,7259 N 76TH ST
133640078,12/30/2013,02:36 PM,4,MOTOR VEHICLE THEFT,,,,,2505 W CUSTER AV
133640087,12/30/2013,02:54 PM,4,MOTOR VEHICLE THEFT,,,,,9098 N 75TH ST
133640090,12/30/2013,04:33 PM,4,THEFT FROM BUILDING,,,,,4725 W WOOLWORTH AV
133640098,12/30/2013,04:37 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,3906 W PORTAGE ST
133640099,12/30/2013,05:32 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,9632 W APPLETON AV
133640113,12/30/2013,11:10 PM,4,ROBBERY,,,,,11313 W SILVER SPRING DR
133640116,12/30/2013,07:25 PM,4,MOTOR VEHICLE THEFT,,,,,7480 N 86TH ST
133640124,12/30/2013,08:25 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,8377 N 76TH ST
133640133,12/30/2013,07:21 PM,4,MOTOR VEHICLE THEFT,,,,,9909 W FOND DU LAC AV
133640135,12/30/2013,08:28 PM,4,AGGRAVATED ASSAULT,KIDNAPING,,,,5925 N 63RD ST
133640141,12/30/2013,10:49 PM,4,THEFT FROM BUILDING,,,,,5826 N 83RD ST
133640146,12/30/2013,10:34 PM,4,THEFT FROM MOTOR VEHICLE,,,,,11425 W LAKE PARK DR
133650003,12/30/2013,10:34 PM,4,MOTOR VEHICLE THEFT,,,,,11425 W LAKE PARK DR
133630022,12/29/2013,01:53 AM,4,AGGRAVATED ASSAULT,,,,,5321 W GREEN TREE RD
133630040,12/29/2013,09:26 AM,4,THEFT FROM BUILDING,,,,,5075 N 105TH ST
133630047,12/29/2013,09:41 AM,4,FORCIBLE FONDLING,,,,,
133630049,12/29/2013,11:13 AM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,6229 W SILVER SPRING DR
133630056,12/29/2013,12:42 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,5454 N 36TH ST
133630067,12/29/2013,01:54 PM,4,ROBBERY,,,,,5865 N 83RD ST #1
133630072,12/29/2013,02:47 PM,4,INTIMIDATION,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,5146 N 105TH ST #11
133630085,12/29/2013,04:31 PM,4,PURSE SNATCHING,,,,,10707 W HAMPTON AV
133630088,12/29/2013,04:59 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,9000 W CARMEN AV #1
133630092,12/29/2013,06:34 PM,4,MOTOR VEHICLE THEFT,,,,,7480 N 86TH ST
133630095,12/29/2013,06:54 PM,4,MOTOR VEHICLE THEFT,,,,,3701 W JUNIPER CT
133630119,12/29/2013,01:15 PM,4,AGGRAVATED ASSAULT,,,,,10351 W DONNA DR
133630122,12/29/2013,08:32 PM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,8940 W MILL RD
133630127,12/29/2013,09:35 PM,4,INTIMIDATION,,,,,6229 W SILVER SPRING DR
133630135,12/29/2013,11:06 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,5255 N 28TH ST
133620012,12/28/2013,12:49 AM,4,INTIMIDATION,,,,,9307 W MANOR CT
133620022,12/28/2013,02:50 AM,4,INTIMIDATION,,,,,5430 N 56TH ST #6
133620034,12/28/2013,09:22 AM,4,ALL OTHER LARCENY,,,,,7503 N 52ND ST
133620045,12/28/2013,10:59 AM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,5531 N 37TH ST
133620055,12/28/2013,01:27 PM,4,MOTOR VEHICLE THEFT,,,,,8661 W MEDFORD AV
133620057,12/28/2013,01:51 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,7600 W BRADLEY RD
133620066,12/28/2013,02:55 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,6205 N TEUTONIA AV
133620072,12/28/2013,04:42 PM,4,MOTOR VEHICLE THEFT,,,,,7501 W GREEN TREE RD
133620074,12/28/2013,02:35 PM,4,ROBBERY,,,,,8500 W BROWN DEER RD
133620081,12/28/2013,05:10 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,7500 W NORTHRIDGE LAKES BL
133620093,12/28/2013,06:56 PM,4,MOTOR VEHICLE THEFT,,,,,5166 N LOVERS LANE RD
133620097,12/28/2013,07:19 PM,4,MOTOR VEHICLE THEFT,,,,,7932 W BENDER AV
133620135,12/28/2013,08:44 PM,4,SIMPLE ASSAULT,,,,,7729 W FLORIST AV
133620143,12/28/2013,10:57 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,5873 N 34TH ST
133610004,12/27/2013,12:04 AM,4,AGGRAVATED ASSAULT,,,,,5501 N 76TH ST #4
133610018,12/27/2013,05:55 AM,4,AGGRAVATED ASSAULT,,,,,5662 N 99TH ST #3
133610021,12/27/2013,06:29 AM,4,BURGLARY/BREAKING AND ENTERING,,,,,7320 W SILVER SPRING DR
133610048,12/27/2013,12:04 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,8877-C N SWAN RD
133610052,12/27/2013,01:28 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,5700 W HEMLOCK ST
133610059,12/27/2013,02:51 PM,4,THEFT FROM BUILDING,,,,,7605 W GOOD HOPE RD
133610064,12/27/2013,03:17 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,5663 N 79TH ST
133610085,12/27/2013,04:36 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,7123 W SILVER SPRING DR #1
133610091,12/27/2013,05:58 PM,4,THEFT FROM BUILDING,,,,,10590 W FOUNTAIN AV #507
133610094,12/27/2013,06:13 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,6000 W CARMEN AV
133610095,12/27/2013,06:49 PM,4,SIMPLE ASSAULT,,,,,7701 W CALUMET RD
133610098,12/27/2013,08:04 PM,4,MOTOR VEHICLE THEFT,,,,,8205 W CASPER ST
133610102,12/27/2013,07:46 PM,4,MOTOR VEHICLE THEFT,,,,,7901 W CLOVERNOOK ST
133610103,12/27/2013,08:17 PM,4,INTIMIDATION,,,,,6318 W THURSTON AV
133610108,12/27/2013,09:26 PM,4,MOTOR VEHICLE THEFT,,,,,5670 N 86TH PL
133610109,12/27/2013,08:48 PM,4,INTIMIDATION,,,,,6929 W SILVER SPRING DR
133610115,12/27/2013,10:04 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,10033-C W HAMPTON AV
133610123,12/27/2013,10:59 PM,4,SIMPLE ASSAULT,,,,,6323 W CARMEN AV #6
133600011,12/26/2013,02:07 AM,4,MOTOR VEHICLE THEFT,,,,,7873 N 60TH ST
133600032,12/26/2013,10:43 AM,4,AGGRAVATED ASSAULT,,,,,8950 N 97TH ST #103
133600034,12/26/2013,11:09 AM,4,ALL OTHER LARCENY,,,,,5251 N 63RD ST
133600040,12/26/2013,11:56 AM,4,DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY,,,,,6618 N 56TH ST
133600050,12/26/2013,10:56 AM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,11100 W METRO AUTO MALL
133600075,12/26/2013,04:51 PM,4,THEFT OF MOTOR VEHICLE PARTS/ACCESSORIES,,,,,7421 N TEUTONIA AV
133600076,12/26/2013,04:02 PM,4,THEFT FROM BUILDING,,,,,5853 N 64TH ST
133600079,12/26/2013,03:43 PM,4,BURGLARY/BREAKING AND ENTERING,,,,,6540 N INDUSTRIAL RD
133600101,12/26/2013,08:04 PM,4,MOTOR VEHICLE THEFT,,,,,5930 N SHERMAN BL
